000001,000001,000001,000000,CREDITTRT   ,N,N,N,000001,0600,0
000001,000001,000001,000000,DCCTRT      ,N,N,N,000001,0600,0
000001,000001,000001,000000,AMEXTRT     ,N,N,N,000001,0600,0
000001,000001,000001,000000,DINERS      ,N,N,N,000001,0600,0
000001,000001,000001,000000,REDETRT     ,N,N,N,000001,0600,0
000001,000001,000001,000000,INSTTRT     ,N,N,N,000001,0600,0
000001,000001,000001,000000,UNIONPAYTRT ,N,N,N,000001,0600,0
000001,000001,000001,000000,FISCTRT     ,N,N,N,000001,0600,0
000001,000001,000001,000000,MOTRT       ,N,N,N,000001,0600,0
000001,000001,000001,000000,OILCASHTRT  ,N,N,N,000001,0600,0
000001,000001,000001,000000,SCTRT       ,N,N,N,000001,0600,0
000001,000001,000001,000000,SCINSTTRT   ,N,N,N,000001,0600,0
000001,000001,000001,000000,EGIFTTRT    ,N,N,N,000001,0600,0
000001,000001,000001,000000,CMASTRT     ,N,N,N,000001,0600,0
000001,000001,000001,000000,IPASSTRT    ,N,N,N,000001,0600,0
000001,000001,000001,000000,ESCTRT      ,N,N,N,000001,0600,0
000001,000001,000001,000000,ESUNPARKTRT ,N,N,N,000001,0600,0
000001,000001,000001,000000,TSBPARKTRT  ,N,N,N,000001,0600,0
000001,000001,000001,000000,CBPARKTRT   ,N,N,N,000001,0600,0
000001,000001,000001,000000,ALIPAYTRT   ,N,N,N,000001,0600,0
000001,000001,000001,000000,NPBTTRT     ,N,N,N,000001,0600,0
